Start date, 2017-07-16
End date, 2017-09-23
Total requests, 12666
Total unique devices, 560
Total sessions, 2711
Average response time, 0.67ms

Language, DeviceCount, Percentage
spa, 5, 0.9%
chs, 97, 17.3%
eng, 386, 68.9%
cht, 72, 12.9%

Date, Unique devices, Sessions, Requests
B8178E98-C250-4842-BD66-118FA6AC2FCE, eng, 2017-09-03 16:51:06, 20
702D50B3-89F6-4ED9-A7A4-ACF9E427281A, eng, 2017-09-21 07:19:47, 3
24CB2353-B3A5-4002-B0D4-0AC2F22735F0, cht, 2017-09-23 08:00:29, 1
fcb16956-928a-4bbc-9965-89a0c2054f95, eng, 2017-09-08 05:55:48, 16
ea3b430b-d3e2-477f-bcec-55d249f75e4f, eng, 2017-08-29 15:13:54, 25
56C87195-2EB8-4D59-9B60-A8516057CA34, eng, 2017-08-29 21:13:30, 25
6E84DE9B-A539-4583-937D-9F3425CCA02C, chs, 2017-09-18 02:58:34, 6
76fbd0ed-7cd5-449c-a1f2-305298d14a8a, eng, 2017-08-29 21:45:43, 25
b2bad61e-cd55-46b1-877a-1ced3bc07c4b, eng, 2017-08-29 22:11:12, 25
1c37e943-7dc8-4abd-a17f-296043627c79, eng, 2017-08-30 06:21:51, 25
d0078b41-0885-4d10-913e-cd3fe5171d20, eng, 2017-09-16 10:14:49, 8
86115369-89DB-4B23-8009-BC5B5DDDC587, eng, 2017-09-21 07:21:28, 3
626F1543-E769-4CD6-B2CB-E4418FFE63E0, eng, 2017-09-19 13:49:39, 4
37BF29C4-BDF1-425F-B806-E1DA4759C845, cht, 2017-09-16 01:24:32, 8
5E9913AD-4A8D-4483-82D0-2BD9BA053575, eng, 2017-09-12 02:28:41, 12
88dab008-bc25-440a-9273-29b0c478bf5d, eng, 2017-09-20 21:48:50, 3
5AB972E3-BD06-4845-A609-7292D4AA2F11, eng, 2017-08-31 08:07:00, 24
7DB6AC17-7C7C-44AB-95C7-F182691426E4, eng, 2017-09-18 18:19:16, 5
16F45771-4052-4BB7-BB2D-347719C9BF8D, eng, 2017-09-20 13:32:07, 3
AC5556A7-C052-4C7D-ADA1-F486CAC3B2ED, eng, 2017-09-13 12:36:04, 10
5077102D-D248-4C71-B6DF-D9E6F2EFB800, eng, 2017-09-22 06:59:57, 2
8EAC6F10-DD05-4FF9-B89C-193E94900506, eng, 2017-09-01 13:12:49, 22
7D251B54-6352-41D9-996B-52C8781B9024, eng, 2017-08-31 18:42:51, 23
84427216-b1b7-4f6c-ad66-4574b5d754b1, eng, 2017-09-22 05:49:20, 2
8F04F006-7B02-403E-B402-6FF910137822, eng, 2017-09-18 06:56:42, 6
07c265ad-6138-455a-a338-bea4a841cafe, eng, 2017-09-18 07:53:36, 6
a2ff0c3e-8c5b-40d5-b93d-b96dcb9b9887, chs, 2017-09-04 11:18:19, 19
baada4c6-a8cd-43a5-a3f6-221bdabb00dc, eng, 2017-09-23 16:39:09, 0
d0d889e8-7b31-4a58-8f97-b84a71c1bc41, eng, 2017-08-31 19:47:09, 23
85215bc9-dc0c-4c2e-9d25-7365ec33c386, eng, 2017-09-18 19:16:12, 5
b73bbfdf-d8ff-40d7-96bb-884186a07283, eng, 2017-08-31 18:45:22, 23
c558f77e-61a1-4b7b-a0b4-f0abb30f1059, eng, 2017-09-22 20:00:35, 1
47a47802-5dc8-4ba3-9d52-e0a8f795455c, eng, 2017-09-06 11:02:35, 17
C6638CF2-324D-4391-A480-8EED559F8CF7, eng, 2017-09-18 19:08:54, 5
881D406A-266A-4AD7-8F3F-4A552DEDB88E, eng, 2017-09-18 06:17:57, 6
f4ff898e-c8db-46d6-9b0b-d759ae93f395, eng, 2017-09-23 15:40:20, 0
cc7fdc06-f94c-4e26-959b-8d7deed17cd4, eng, 2017-09-17 11:22:23, 6
616f00cd-d93e-4c83-8963-94dc5e0656d4, eng, 2017-08-31 22:05:02, 23
509A62D5-DF43-4FBE-BB3A-938201463800, eng, 2017-09-01 06:43:49, 23
aa9cb91d-8cd2-4405-a6f5-849e4ee6424a, eng, 2017-09-11 18:54:06, 12
97186c8f-62c4-49c3-a293-d8ee2c44aad5, eng, 2017-09-01 14:44:09, 22
07A7EC1F-19B9-41B9-A32D-A71B907CE838, eng, 2017-09-21 19:10:23, 2
ACC68635-9B65-44A5-B88C-DE631E756509, eng, 2017-09-22 06:46:07, 2
ccea7707-bfb1-46f0-b14b-549b12318115, eng, 2017-09-06 11:27:37, 17
F2861A13-28D2-475D-AAC5-171D8A62C8AE, eng, 2017-09-23 09:08:46, 1
36b30295-3abd-4179-a323-19d4fa277741, eng, 2017-09-03 21:47:50, 20
EC25D9E0-3247-47E5-A113-FCAAB0E089C1, eng, 2017-09-03 21:54:48, 20
b3b3475c-8bc8-47bc-9ae9-a2c6c0187590, cht, 2017-09-18 20:24:42, 5
2DDF79B7-5CC1-4268-8D0F-CF341076C974, cht, 2017-09-23 07:53:01, 1
f711fb05-5a21-43cd-8856-7ca620e44928, eng, 2017-09-11 20:47:39, 12
fd9ecc48-7b94-4e63-a623-927b19b8277e, eng, 2017-09-08 18:58:50, 15
613f6c67-78b0-4c68-b095-7b387a69901a, eng, 2017-09-13 21:13:31, 10
0AD94224-2748-4927-B670-DF8FD8A23459, eng, 2017-09-06 19:15:56, 17
50D819D3-4BC0-4584-81E2-E0A18FCD8FF3, eng, 2017-09-06 22:04:50, 17
C96DAA18-28C8-4A67-A1B6-03B6323AC52A, eng, 2017-09-07 07:11:38, 17
63B3F38E-5876-4E3A-9EC8-3A84ADF4AA65, chs, 2017-09-07 19:31:51, 16
19b1e92a-a937-4b94-ae5d-5b5716a1d840, eng, 2017-09-07 22:00:04, 16
df774452-6b27-4d71-9d7a-c87dd17030a0, eng, 2017-09-08 12:36:01, 15
B62952DD-02F2-455D-9472-3CC925703E6C, eng, 2017-09-09 21:42:42, 14
c9526c9d-76be-45b6-9b29-b0b43f9fa320, cht, 2017-09-23 08:01:13, 1
688ac398-bd94-4a96-bae7-d480ff939313, eng, 2017-09-20 09:09:49, 4
e352476d-85cd-4046-804d-ac00199c7f61, eng, 2017-09-22 19:01:40, 1
F67FFB21-7169-4DF1-B286-68F87FCF78E3, eng, 2017-09-22 23:11:55, 1
CF2D9759-9BDB-451E-9D43-3CE12092C4C6, eng, 2017-09-21 08:22:40, 3
3FB8D2B2-2050-48E9-8BD0-CBC57D269D3A, chs, 2017-09-18 07:27:37, 6
CC85830B-535E-4D9D-9CAC-D62E28A1A44B, chs, 2017-09-18 21:12:39, 5
57251C77-053F-4529-AE32-B4BD73430F9C, cht, 2017-09-12 08:46:09, 12
0FFD6B22-0758-47D1-B2D8-D2509E8C28CD, eng, 2017-09-10 05:39:31, 14
78B02522-42D5-4CCD-BAC8-99B5BCA11EE0, cht, 2017-09-22 21:45:55, 1
CCDCD83D-40FC-4806-A897-F6D2BA063184, eng, 2017-09-16 07:48:34, 8
21E1A2F0-B4B9-4BA5-ADAA-4F98103E4539, eng, 2017-09-10 21:22:45, 13
DBAD8824-30A9-41E1-B210-CE02D3A5621D, eng, 2017-09-11 19:54:01, 12
CB7C12A1-652D-4B69-B706-5770D2815B9C, eng, 2017-09-10 22:18:13, 13
8276122A-B36F-4C10-9E05-C189ED7F1CDE, eng, 2017-09-11 07:00:38, 13
44F2E3A0-71AF-4020-B1F5-B7C211443F9E, eng, 2017-09-11 13:25:14, 12
46e9daec-fc1b-4898-8f13-eb522b2e1351, chs, 2017-09-23 21:13:39, 0
67e4069b-6e19-4933-a586-5de5c098f06f, eng, 2017-09-11 17:36:46, 12
6c00fc84-b122-45fd-840b-07ed9d55a3fa, eng, 2017-09-15 05:50:29, 9
60306652-2B01-45D0-8C31-2C6C38A2D687, eng, 2017-09-22 22:49:19, 1
1d879951-950d-48ba-ad31-c66226c17a82, eng, 2017-09-21 23:35:12, 2
A601AF66-79CD-4DD5-9FE2-11098EBB4582, eng, 2017-09-23 15:51:15, 0
E3328D89-6257-43CE-A33B-2A515E5364CD, eng, 2017-09-21 10:02:13, 3
793E4545-5AB3-4D2F-A7C3-CB73F00DFB52, eng, 2017-09-18 06:44:00, 6
3b0387f4-fbd7-457c-ae78-f7610d4271fe, eng, 2017-09-11 19:06:49, 12
cd091fe3-5ce7-4f89-a71c-6b8be30518cf, eng, 2017-09-11 19:53:32, 12
04D850BD-7479-4B8F-B714-382C3ACB2830, eng, 2017-09-11 19:08:14, 12
e5b65f4b-700f-4375-825c-bc6ba38d568d, eng, 2017-09-17 16:33:33, 6
0B4C7A5B-2127-442E-B80D-76332B070C6A, eng, 2017-09-19 22:40:56, 4
A8169FF0-81A4-436A-8C98-979A1F9014BA, eng, 2017-09-11 19:10:09, 12
9F1E3A30-5D54-403D-B7FF-46849F030DDD, cht, 2017-09-18 17:20:20, 5
d8d414b5-2d9c-495c-a28c-7f62d20b36a8, eng, 2017-09-20 15:01:23, 3
6871364f-4aa7-4b57-b8d4-a739115d20a6, eng, 2017-09-23 11:30:55, 0
50E484A8-1D54-4E99-991B-E845297969AE, eng, 2017-09-16 08:03:43, 8
81b0e7d7-9021-4f83-add4-603bb91bef4a, eng, 2017-09-18 19:16:29, 5
8286bf90-a683-4164-a772-40096ea3c0de, eng, 2017-09-14 15:37:19, 9
14f2dcc3-9e55-4bf5-818f-e3eb20ef57da, cht, 2017-09-11 20:12:08, 12
89A9CB49-ACFA-4275-A477-8031703F0CB6, eng, 2017-09-11 19:23:37, 12
88749DF6-F9D4-44C6-837B-C5E45E041108, eng, 2017-09-23 19:42:04, 0
A6888BCD-897D-44D3-A037-953E160135DB, eng, 2017-09-18 20:00:29, 5
6A4FFE6F-C493-4995-9FBC-5F2E7608CDA0, eng, 2017-09-21 08:56:27, 3
848F5DE6-989C-4F0A-8C19-19A63825D31B, eng, 2017-09-11 19:45:31, 12
2EE433AF-5CB4-403C-90C1-A2B48BFA89E0, eng, 2017-09-11 19:28:10, 12
19FB9128-C09A-479E-A8A2-800D4D8C609E, eng, 2017-09-23 11:03:03, 0
0ad1e1bd-5d88-45b1-b67b-7f3817b4416a, eng, 2017-09-11 19:30:00, 12
88c9a51c-415b-4ae3-ac5c-d09b0e6bbd53, eng, 2017-09-18 17:10:23, 5
3924D69D-F786-4574-8D70-9D47D9798726, eng, 2017-09-11 19:35:10, 12
8FFF8962-1988-48C4-9D9B-A6340751DB93, eng, 2017-09-11 19:37:30, 12
8D3BB0EF-D0C0-4DA0-9854-5DCEFF6D5831, eng, 2017-09-12 08:35:32, 12
F30AD04A-BC49-4FC6-9291-DDA8B054D0DC, eng, 2017-09-23 11:21:18, 0
1e498e32-f5a8-48f8-b6b0-b78521165095, eng, 2017-09-11 20:53:20, 12
3677c589-c793-4a91-859e-59cb3969eaf1, eng, 2017-09-18 19:52:03, 5
3A5FA4D9-88D8-4478-9CF4-C5DF9EE10F9B, eng, 2017-09-11 19:40:26, 12
0FBA909A-08C7-43E7-BDF5-DB326D2DD3B9, eng, 2017-09-22 13:31:13, 1
A077BBA7-29B8-410F-8263-8026DF668C7E, eng, 2017-09-12 19:44:45, 11
67C91FEC-976A-400A-9963-3C06E17ADB2E, eng, 2017-09-18 19:14:47, 5
D6F6E7AA-FC50-4F9F-A3AE-96C0A374752E, eng, 2017-09-20 22:28:52, 3
